time,joint_positions
0.159,"array('d', [-1.7902895494596962, 1.4112366904686717, -2.0424526468189783, 2.226529129113725, 1.6506363887537288, 1.336852405530839])"
0.16,"array('d', [-1.789124361353536, 1.411950283396888, -2.0426590488618213, 2.225672582860663, 1.6492674261456046, 1.3381799214197285])"
0.161,"array('d', [-1.7879611024388222, 1.412656632247493, -2.0428687103056147, 2.224824885199549, 1.6479111557818424, 1.3395037468182018])"
0.162,"array('d', [-1.7867997696048017, 1.4133556350451295, -2.0430817125103546, 2.2239863211307327, 1.6465676093885901, 1.3408238962754053])"
0.163,"array('d', [-1.7856403605203914, 1.4140471906410965, -2.0432981354648745, 2.223157174905222, 1.6452368227214016, 1.3421403845618272])"
0.164,"array('d', [-1.7844828737290237, 1.41473119878671, -2.0435180576680194, 2.222337729823839, 1.6439188352769534, 1.3434532265607724])"
0.165,"array('d', [-1.7833273087421222, 1.4154075602099447, -2.043741556008721, 2.2215282680252226, 1.6426136899949204, 1.3447624371593194])"
0.166,"array('d', [-1.7821736661310041, 1.4160761766951937, -2.0439687056452795, 2.220729070262979, 1.6413214329504981, 1.3460680311388917])"
0.167,"array('d', [-1.7810219476169982, 1.4167369511659602, -2.044199579884178, 2.2199404156723435, 1.6400421130381424, 1.3473700230655996])"
0.168,"array('d', [-1.7798721561595565, 1.417389787770285, -2.044434250058766, 2.219162581526779, 1.6387757816471797, 1.3486684271805212])"
0.169,"array('d', [-1.7787246374505516, 1.4180348377766683, -2.0446718383462366, 2.218397865205747, 1.6375268439815311, 1.3499643329848043])"
0.17,"array('d', [-1.7775796313681793, 1.418672121307841, -2.044912065896262, 2.2176466606293648, 1.636298355081133, 1.351258072444013])"
0.171,"array('d', [-1.7764372607761316, 1.4193015941207665, -2.04515491778855, 2.216908672132619, 1.635091149311451, 1.35254941003936])"
0.17200000000000001,"array('d', [-1.7752976492020152, 1.4199232290413375, -2.0454003127881863, 2.216183812517369, 1.6339053320244645, 1.3538381495095833])"
0.17300000000000001,"array('d', [-1.774160918107507, 1.4205370024912687, -2.045648166174851, 2.215472014874759, 1.6327407156935354, 1.3551241134353254])"
0.17400000000000002,"array('d', [-1.7730271859158637, 1.4211428944976192, -2.0458983900129994, 2.214773227372848, 1.6315970049277582, 1.3564071299403437])"
0.17500000000000002,"array('d', [-1.7718965683979482, 1.421740887933153, -2.0461508967807562, 2.2140874013446186, 1.6304738658274756, 1.3576870330180417])"
0.176,"array('d', [-1.7707691786383404, 1.4223309683014043, -2.0464056001834274, 2.2134144883706863, 1.629370953117491, 1.3589636612029399])"
0.177,"array('d', [-1.7696451270826452, 1.4229131235986336, -2.046662415561133, 2.2127544389100926, 1.6282879205455787, 1.360236857312284])"
0.178,"array('d', [-1.768524521564976, 1.4234873442290261, -2.046921260019436, 2.2121072018647783, 1.62722442487204, 1.3615064682536357])"
0.179,"array('d', [-1.7674074673375955, 1.4240536229369056, -2.0471820524737474, 2.2114727244426295, 1.6261801273674934, 1.3627723449264164])"
0.18,"array('d', [-1.7662940670995295, 1.4246119547467841, -2.0474447136558647, 2.210850952145479, 1.6251546943487245, 1.364034342147711])"
0.181,"array('d', [-1.7651844210251277, 1.425162336906827, -2.0477091661059474, 2.2102418288021344, 1.6241477973421634, 1.3652923185900536])"
0.182,"array('d', [-1.7640786267925466, 1.425704768834176, -2.047975334158154, 2.2096452966179574, 1.623159113103612, 1.3665461367236555])"
0.183,"array('d', [-1.762976779612218, 1.4262392520614953, -2.0482431439233038, 2.2090612962296268, 1.6221883235826324, 1.3677956627606338])"
0.184,"array('d', [-1.7618789722553088, 1.4267657901844946, -2.0485125232698875, 2.2084897667608145, 1.6212351158658327, 1.369040766600202])"
0.185,"array('d', [-1.7607852950821716, 1.4272843888103286, -2.048783401803986, 2.2079306458771617, 1.6202991821123103, 1.3702813217744425])"
0.186,"array('d', [-1.7596958360707813, 1.4277950555068288, -2.049055710848349, 2.2073838698399704, 1.619380219486389, 1.3715172053945173])"
