time,fx,fy,fz,mx,my,mz,force_magnitude,torque_magnitude
0.382,0.19896073249124402,-1.919509999302759,-6.12923831890172,-0.25390568009204173,-0.05544062280974375,0.007009045023080089,6.425859193943633,0.25998246816404774
0.383,0.18226655601623293,-1.8964402430746738,-6.1794508633200875,-0.25158793397513624,-0.055051962215926994,0.006898521487287814,6.466476603621366,0.2576330659376081
0.384,0.22421927250899232,-1.8773431638004299,-6.099838086714314,-0.24887193157638016,-0.05863812180373814,0.006535490447504361,6.386134693299478,0.25577017083823106
0.385,0.22808818628892158,-1.855332323556438,-6.105075693055094,-0.24636685531736172,-0.059641698686863025,0.006306536394630257,6.384843887636567,0.2535616927347607
0.386,0.25682406429073124,-1.8353844065005143,-6.05541571491314,-0.24374132872008827,-0.06233527052865863,0.0059914525213213875,6.332665631473137,0.2516573439846937
0.387,0.26953575816618014,-1.8139009003686986,-6.041764169621363,-0.24116092588703966,-0.06394398688375456,0.005710106317911435,6.313936987538687,0.24955967412113253
0.388,0.2929061283868008,-1.7934323979524605,-6.004812245048086,-0.23854507227808927,-0.06628238979159108,0.005398503537013261,6.2737519766365875,0.24764137486511095
0.389,0.30964263654241003,-1.7721107411316435,-5.983119541040982,-0.2359175241259455,-0.06817670696877426,0.005085616955751453,6.247717541917651,0.2456237062309801
0.39,0.33109607655449913,-1.7512240237021481,-5.9514363755988136,-0.2332717209566864,-0.07040119175368534,0.0047581961862364,6.212568319616458,0.2437102050169013
0.391,0.34996925957710195,-1.7297979268633958,-5.926128863269651,-0.2305931196263227,-0.07246144705668854,0.004417313483130469,6.183339118510927,0.2417506169319059
0.392,0.37112669886470806,-1.7084650350005564,-5.8963969365221685,-0.22789024708714292,-0.07469137987931773,0.004063559472408457,6.150128830801651,0.23985262029275686
0.393,0.3915175366054902,-1.6867043757535154,-5.8691730026827935,-0.2251423830575168,-0.07688596276027251,0.0036912427912220488,6.119268695528596,0.23793732198151551
0.394,0.4132649347946711,-1.6648061720135443,-5.839797064043687,-0.22235585885816742,-0.07919317806774347,0.003302942609172403,6.0865094467944845,0.2360605787735472
0.395,0.43513203597225497,-1.6424725909127138,-5.811179111517618,-0.219511538029622,-0.08153222975420182,0.0028924423826329456,6.054490793350633,0.23418195071302783
0.396,0.45809013781875163,-1.619810146986372,-5.7812698008477295,-0.2166097802602956,-0.08397340543249464,0.0024611101881714752,6.021354664595066,0.23233033979164663
0.397,0.48168745398998125,-1.596623052572818,-5.7512560586224515,-0.2136332248940352,-0.08649030595791858,0.0020034907590442182,5.9881695222479925,0.2304858819505901
0.398,0.5064209391991563,-1.5729117213731694,-5.720196286599255,-0.2105761134432721,-0.0891218401368826,0.0015192468062754415,5.954087588213358,0.22866418620570259
0.399,0.5321901386333615,-1.548516557999964,-5.6885328738664,-0.20742109039689827,-0.09186667128597042,0.0010035278688279728,5.919504720085742,0.22685678544576598
0.4,0.559309172587281,-1.5233664747094335,-5.655790024455918,-0.20415654083422097,-0.09475243434506143,0.0004544662412573398,5.8839980427889325,0.2250735957843002
0.401,0.5878484546530379,-1.497298941559441,-5.622082267066903,-0.20076299559946828,-0.09779081033975687,-0.00013263862091319892,5.847672951157675,0.2233133237896525
0.402,0.618067690144331,-1.4701821276146558,-5.58712420978162,-0.19722271686209644,-0.10100721454831159,-0.0007609695233737972,5.810283994219714,0.22158482915554217
0.403,0.6501362056603458,-1.4418228442766312,-5.550879689032935,-0.19351192044209467,-0.10442175801520229,-0.0014355144471871373,5.771810419816885,0.2198927638688939
0.404,0.6843193705091366,-1.412024550029437,-5.513134706669675,-0.18960570716456018,-0.10806210059999007,-0.002160669883001073,5.7320817007982,0.21824850576761948
0.405,0.7208607271142643,-1.3805383757976655,-5.473777288511561,-0.18547353487571863,-0.1119554973592044,-0.0029420829030829053,5.691024881264424,0.21666361341962764
0.406,0.7600635248927039,-1.3470880231232982,-5.432612724341981,-0.18108142696941834,-0.11613450165696727,-0.0037853895686810538,5.648506326153575,0.2151558385045119
